Landing_Page_Size_In_KB,Same Landing Domain,Has Bank Related Keywords,Has Crypto Related Keywords,Has Card Related Keywords,Unique_Internal_Page_Link_Cnt,Unique_External_Page_Link_Cnt,Avg_External_Links_Len,Stdv_External_Links_Len,Ratio_Shortened_URL_And_External_Links,Ratio_Social_Media_Links_And_External_Links,Has_Google_Form_External_Link,Has_Paypal_External_Link,Is Cheapest TLD,Is Combined TLD,Spamhaus TLD Rank,Domain Letter Count,Domain Digit Rate,Domain Hyphen Count,xn-- Present,Money Keyword Check,Help Keyword Check,Campaign Keyword Check,War Keyword Check,For and To Keyword Check,Number Instead of Word,Is WhoIs Registrar Available,Is SSL Certificate Retrievable,K-means Label,KMedoids Label,Hierarchical Label,DBSCAN Label,GMM Label,IPQS_Flag,Domain
104.99,1,0,0,0,8,2,87.0,52.0,0.0,0.0,0,0,0,0,0.16,12,0.0,1,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,angel-ukraine.com
96.57,0,0,0,0,25,10,182.3,111.36,0.0,0.6,0,0,1,0,0.01,21,0.0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,ankommenausderukraine.de
7.05,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,13,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,annecy-ukraine.org
1.18,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,9,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,anukraine.com
266.85,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,17,0.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,apparelforukraine.com
58.31,1,1,1,0,1,22,27.68,12.1,0.0,0.09,0,0,0,0,0.16,14,0.0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,0,appsforukraine.com
147.91,1,0,0,0,5,1,35.0,0.0,0.0,0.0,0,0,0,0,0.16,10,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,appukraine.com
59.75,1,0,0,0,11,0,0.0,0.0,0.0,0.0,0,0,1,0,0.01,24,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,arbeitskreis-ukrainehilfe.de
8.48,1,0,0,0,1,1,34.0,0.0,0.0,1.0,0,0,0,0,0.05,14,0.0,0,0,0,0,0,1,1,0,0,0,2,2,3,0,2,0,armsforukraine.org
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,14,0.0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,armysos-ukraine.com
133.37,1,0,0,0,43,0,0.0,0.0,0.0,0.0,0,0,1,0,0.01,10,0.091,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,art4ukraine.de
27.98,1,0,0,0,6,1,22.0,0.0,0.0,0.0,0,0,0,0,0.05,10,0.091,0,0,0,0,1,0,0,1,0,0,2,2,3,0,2,0,art4ukraine.org
142.49,1,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,13,0.0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,artaidukraine.com
196.81,1,0,0,0,13,5,65.4,37.58,0.0,0.6,0,1,0,0,0.05,19,0.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,artandsoulofukraine.org
40.3,1,0,0,0,2,5,38.8,3.71,0.2,0.2,1,0,0,0,0.16,13,0.0,0,0,0,0,1,0,1,0,1,0,2,2,3,0,2,0,artforukraine.com
40.3,1,0,0,0,2,5,38.8,3.71,0.2,0.2,1,0,0,0,0.13,13,0.0,0,0,0,0,1,0,1,0,0,0,2,2,3,0,2,0,artforukraine.net
40.3,1,0,0,0,2,5,38.8,3.71,0.2,0.2,1,0,0,0,0.05,13,0.0,0,0,0,0,1,0,1,0,1,0,2,2,3,0,2,0,artforukraine.org
287.39,1,0,0,0,33,5,92.4,100.46,0.0,0.6,0,0,0,0,0.2,13,0.0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,artforukraine.world
130.72,1,0,0,0,54,6,37.17,18.59,0.0,0.17,0,0,0,0,0.16,15,0.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,artfrontukraine.com
196.96,1,0,0,0,1,1,100.0,0.0,0.0,0.0,0,0,0,0,0.01,17,0.0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0,arthelpforukraine.dk
1527.2,1,0,0,0,8,3,36.33,13.2,0.0,0.33,0,0,0,0,0.16,15,0.0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,artistes-ukraine.com
146.23,1,0,0,0,33,2,48.0,1.0,0.0,1.0,0,0,0,0,0.16,14,0.067,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,artists4ukraine.com
5.3,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0.16,14,0.067,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,artists4ukraine.com.au
1.2,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,17,0.0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,artistsforukraine.com
134.62,1,0,0,0,1,3,50.33,8.65,0.0,0.33,0,0,1,0,0.06,17,0.0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,artistsforukraine.eu
21.16,1,0,0,0,22,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,17,0.0,0,0,0,0,1,0,1,0,0,0,0,2,1,-1,2,0,artistsforukraine.org
77.13,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,1,0,0.18,17,0.0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,artistsforukraine.xyz
335.77,1,1,1,1,4,10,47.7,26.31,0.0,0.2,0,0,0,0,0.01,18,0.0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,artistshelp-ukraine.at
113.76,1,0,0,0,2,4,61.0,45.03,0.25,0.0,1,0,0,0,0.16,15,0.0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,artpeaceukraine.com
5.1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,14,0.0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,artsforukraine.org
0.11,1,0,0,0,4,3,70.67,48.61,0.0,0.67,0,0,0,0,0.16,10,0.0,1,0,0,0,1,0,0,0,0,0,2,2,3,0,2,0,art-ukraine.com
649.05,1,0,0,0,5,13,78.62,31.75,0.0,0.31,0,0,0,0,0.05,26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,asiafuelingukraineinvasion.org
5.88,1,0,0,0,2,3,36.0,5.35,0.0,1.0,0,0,0,0,0.16,24,0.0,0,0,0,0,0,1,1,0,1,0,2,2,3,0,2,0,assaultweaponsforukraine.com
121.16,1,1,1,1,3,6,61.0,41.44,0.0,0.17,0,0,0,0,0.16,17,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,assistanceukraine.com
242.56,1,0,0,0,26,2,54.5,16.5,0.0,1.0,0,0,0,0,0.03,26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,associationnarbonneukraine.fr
4.37,1,0,0,0,1,1,41.0,0.0,0.0,0.0,0,0,0,0,0.03,9,0.0,1,0,0,0,0,0,0,0,0,0,2,2,3,0,0,1,as-ukraine.fr
134.57,1,0,0,0,12,6,45.67,17.82,0.0,0.67,0,0,0,0,0.05,20,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,ate-solidarite-ukraine.org
90.09,1,0,0,0,20,4,45.25,5.12,0.0,0.75,0,0,0,0,0.16,18,0.0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,athletes-for-ukraine.com
90.09,1,0,0,0,20,4,45.25,5.12,0.0,0.75,0,0,1,0,0.01,18,0.0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,athletes-for-ukraine.de
90.09,1,0,0,0,17,4,45.25,5.12,0.0,0.75,0,0,0,0,0.05,18,0.0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,athletes-for-ukraine.org
11.6,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,17,0.0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,atlantaforukraine.com
24.72,1,0,0,0,16,1,21.0,0.0,0.0,0.0,0,0,0,0,0.01,12,0.0,1,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,atlas-ukraine.be
82.6,1,0,0,0,5,2,40.5,19.5,0.0,0.0,0,0,0,0,0.03,25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,aubersensemblepourukraine.fr
1.2,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,17,0.0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,auctionforukraine.com
